"동별(1)",동별(2),2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"관악구",서림동,15635,11092,2457,1184,675,178,34,8,7,0,0
"관악구",신사동,14679,10388,2318,1136,649,141,40,6,1,0,0
"관악구",신림동,19387,16824,1802,452,236,60,11,1,1,0,0
"관악구",난향동,6126,2013,1611,1239,952,231,53,16,8,2,1
"관악구",조원동,12509,8291,2280,1126,656,119,31,3,3,0,0
"관악구",대학동,18230,14406,2022,1054,565,153,27,3,0,0,0
"관악구",은천동,16060,7885,3699,2282,1719,358,87,24,5,0,1
"관악구",성현동,12926,4512,3269,2593,2027,427,69,18,6,5,0
"관악구",청룡동,24625,18262,3268,1688,1121,219,47,10,7,2,1
"관악구",난곡동,12718,6231,3194,1879,1112,226,60,13,3,0,0
"관악구",삼성동,9842,4189,2750,1616,974,249,53,5,3,1,2
"관악구",미성동,14026,6362,3415,2287,1494,372,73,19,3,0,1
"서초구",소계,172911,60783,37329,34956,30639,6816,1701,470,130,58,29
"서초구",서초1동,9565,4493,1883,1531,1252,278,91,22,13,2,0
"서초구",서초2동,11451,5129,2156,2012,1675,357,87,26,6,3,0
"서초구",서초3동,15538,7508,3106,2376,1894,462,130,43,10,7,2
"서초구",서초4동,10643,2218,2040,2778,2891,553,107,35,11,6,4
"서초구",잠원동,13217,3893,2682,3151,2827,503,119,30,8,1,3
"서초구",반포본동,107,53,20,16,14,3,0,1,0,0,0
"서초구",반포1동,14503,6075,2379,2683,2665,541,117,29,6,7,1
"서초구",반포2동,8564,994,1777,2377,2576,647,145,33,9,4,2
"서초구",반포3동,8164,1299,1811,2303,2255,375,88,27,3,3,0
"서초구",반포4동,7004,1783,1632,1731,1411,311,99,20,9,5,3
"서초구",방배본동,7859,2374,1701,1673,1583,372,109,36,7,3,1
"서초구",방배1동,7519,3055,1865,1259,1028,223,61,17,6,3,2
"서초구",방배2동,7772,2878,2000,1453,1106,251,60,21,2,0,1
"서초구",방배3동,5810,1243,1459,1524,1176,299,73,25,8,2,1
"서초구",방배4동,9625,3471,2165,1848,1627,389,95,16,9,3,2
"서초구",양재1동,17561,6282,4393,3312,2568,739,190,53,17,4,3
"서초구",양재2동,10962,5819,2285,1477,1055,247,61,12,3,3,0
"서초구",내곡동,7047,2216,1975,1452,1036,266,69,24,3,2,4
"강남구",소계,245478,98105,50126,46048,40128,8452,1906,469,158,58,28
"강남구",신사동,6550,2451,1489,1246,1022,246,65,15,10,6,0
"강남구",개포3동,7320,2554,1937,1510,1095,179,32,12,1,0,0
"강남구",논현1동,13497,9372,2255,996,627,168,50,21,6,1,1
"강남구",논현2동,11207,6502,2070,1476,884,184,65,13,9,2,2
"강남구",삼성1동,5491,1967,1355,1035,837,202,71,16,6,1,1
"강남구",삼성2동,13799,6047,2553,2463,2171,426,95,29,10,5,0
"강남구",대치1동,7220,551,1102,2099,2782,551,97,25,8,5,0
"강남구",대치4동,9734,5461,1716,1251,1007,230,53,10,4,1,1
"강남구",역삼1동,23916,17855,3381,1496,855,246,61,12,6,2,2
"강남구",역삼2동,15574,6379,2330,3199,3038,499,93,23,8,2,3
"강남구",도곡1동,8346,2689,1721,1774,1722,333,72,28,4,1,2
"강남구",도곡2동,11430,2171,2493,3072,2930,583,131,34,10,3,3
"강남구",개포1동,9165,1336,2114,2567,2447,557,103,31,7,2,1
"강남구",개포4동,10057,3697,2333,2094,1523,301,76,21,6,5,1
"강남구",일원본동,7947,1472,1739,2215,2120,328,57,8,6,1,1
"강남구",일원1동,7446,3700,1885,1057,590,161,42,5,5,1,0
"강남구",수서동,7640,4053,2100,891,453,101,35,4,3,0,0
"강남구",세곡동,20277,7853,4717,3604,3002,858,187,42,10,2,2
"강남구",압구정동,9950,2680,2442,2317,1870,457,141,21,10,9,3
"강남구",청담동,10505,4176,2235,1948,1602,382,115,31,12,0,4
"강남구",대치2동,13418,2560,2592,3569,3801,716,127,41,8,3,1
"강남구",개포2동,14989,2579,3567,4169,3750,744,138,27,9,6,0
"송파구",소계,286836,109695,66496,55076,43790,9088,2023,474,130,42,22
"송파구",풍납1동,5257,2183,1402,941,590,105,24,11,1,0,0
"송파구",풍납2동,10467,4134,2481,1966,1529,273,60,19,4,1,0
"송파구",거여1동,5598,2346,1474,931,640,161,37,9,0,0,0
"송파구",거여2동,10064,3375,2780,2055,1443,330,60,12,5,2,2
"송파구",마천1동,7276,3036,1943,1221,809,206,46,10,4,1,0
"송파구",마천2동,8404,3672,2304,1364,822,170,52,16,3,0,1
"송파구",방이1동,6157,2021,1392,1311,1105,246,57,18,6,1,0
"송파구",방이2동,16047,10228,3053,1588,917,192,54,9,5,1,0
"송파구",오륜동,5850,661,1409,1673,1660,336,76,22,7,3,3
"송파구",오금동,15909,5114,4180,3435,2468,527,147,27,7,3,1
"송파구",송파1동,12469,6743,2818,1588,995,238,69,11,7,0,0
"송파구",송파2동,7568,1945,1818,1897,1535,290,60,21,2,0,0
"송파구",석촌동,17066,9734,3700,1981,1280,272,81,12,5,1,0
"송파구",삼전동,16114,9225,3483,1904,1157,259,61,15,8,2,0
"송파구",가락본동,11640,4969,2753,2089,1413,336,60,16,2,1,1
"송파구",가락1동,9690,1613,2402,2794,2346,429,82,19,2,1,2
"송파구",가락2동,12292,3715,2839,2844,2387,386,94,20,6,0,1
"송파구",문정1동,8990,3645,2110,1643,1233,274,60,17,5,1,2
"송파구",문정2동,15828,9030,3127,1912,1365,286,71,21,10,4,2
"송파구",잠실본동,16184,9991,3058,1743,1084,216,71,18,1,2,0
"송파구",잠실4동,7200,1005,1587,2222,1952,334,78,15,5,2,0
"송파구",잠실6동,5832,1005,1521,1592,1318,286,76,23,6,2,3
"송파구",잠실7동,3369,525,989,885,733,176,49,9,3,0,0
"송파구",잠실2동,11546,1614,2114,3367,3717,600,102,21,7,3,1
"송파구",잠실3동,11800,1797,2971,3301,2994,576,115,32,7,5,2
"송파구",장지동,13211,4097,3772,2909,1907,421,88,12,3,1,1
"송파구",위례동,15008,2272,3016,3920,4391,1163,193,39,9,5,0
"강동구",소계,222289,83367,53980,43188,33187,6798,1305,334,84,28,18
"강동구",명일1동,10031,2755,2633,2399,1836,318,65,17,5,1,2
"강동구",명일2동,6392,1696,1353,1431,1515,319,57,16,3,1,1
"강동구",고덕1동,8164,1396,1642,2199,2426,406,71,16,6,0,2
"강동구",고덕2동,10306,2768,2427,2526,2098,389,76,16,3,1,2
"강동구",암사2동,6397,2124,1779,1381,880,185,36,10,2,0,0
"강동구",암사3동,6044,1070,1513,1618,1448,302,69,13,8,1,2
"강동구",천호1동,12843,6074,3249,2032,1152,257,59,14,4,0,2
"강동구",천호3동,14963,8638,3168,1821,1045,223,50,15,2,1,0
"강동구",성내1동,8200,2726,2148,1742,1244,266,54,19,1,0,0
"강동구",성내2동,14068,8162,3129,1672,873,175,37,15,3,1,1
"강동구",성내3동,10614,4791,2598,1725,1172,252,48,18,8,2,0
"강동구",둔촌1동,11885,2030,3255,3295,2714,467,97,20,5,2,0
"강동구",둔촌2동,10939,3672,2913,2303,1656,311,60,20,2,1,1
"강동구",암사1동,15860,6781,4017,2804,1839,324,73,15,4,3,0
"강동구",천호2동,18735,9701,4471,2593,1542,322,71,22,8,5,0
"강동구",길동,24177,11393,5812,3760,2485,551,123,39,10,3,1
"강동구",강일동,13801,3812,3724,2925,2509,707,101,18,3,2,0
"강동구",상일1동,13566,2070,3013,3987,3706,661,96,22,4,3,4
"강동구",상일2동,5304,1708,1136,975,1047,363,62,9,3,1,0
