자치구,연도,범죄유형,구분,건수
중구,2017,살인,검거,0
중구,2017,강도,발생,9
중구,2017,강도,검거,9
중구,2017,강간·강제추행,발생,267
중구,2017,강간·강제추행,검거,149
중구,2017,절도,발생,1846
중구,2017,절도,검거,889
중구,2017,폭력,발생,2061
중구,2017,폭력,검거,1804
중구,2018,소계,발생,4030
중구,2018,소계,검거,2679
중구,2018,살인,발생,2
중구,2018,살인,검거,2
중구,2018,강도,발생,11
중구,2018,강도,검거,11
중구,2018,강간·강제추행,발생,207
중구,2018,강간·강제추행,검거,115
중구,2018,절도,발생,1855
중구,2018,절도,검거,832
중구,2018,폭력,발생,1955
중구,2018,폭력,검거,1719
중구,2019,소계,발생,4327
중구,2019,소계,검거,2804
중구,2019,살인,발생,2
중구,2019,살인,검거,1
중구,2019,강도,발생,6
중구,2019,강도,검거,5
중구,2019,강간·강제추행,발생,195
중구,2019,강간·강제추행,검거,115
중구,2019,절도,발생,2202
중구,2019,절도,검거,1050
중구,2019,폭력,발생,1922
중구,2019,폭력,검거,1633
중구,2020,소계,발생,3411
중구,2020,소계,검거,2323
중구,2020,살인,발생,2
중구,2020,살인,검거,2
중구,2020,강도,발생,5
중구,2020,강도,검거,6
중구,2020,강간·강제추행,발생,186
중구,2020,강간·강제추행,검거,128
중구,2020,절도,발생,1642
중구,2020,절도,검거,863
중구,2020,폭력,발생,1576
중구,2020,폭력,검거,1324
중구,2021,소계,발생,2861
중구,2021,소계,검거,2072
중구,2021,살인,발생,6
중구,2021,살인,검거,6
중구,2021,강도,발생,6
중구,2021,강도,검거,6
중구,2021,강간·강제추행,발생,161
중구,2021,강간·강제추행,검거,97
중구,2021,절도,발생,1279
중구,2021,절도,검거,739
중구,2021,폭력,발생,1409
중구,2021,폭력,검거,1224
중구,2022,소계,발생,3071
중구,2022,소계,검거,2119
중구,2022,살인,발생,1
중구,2022,살인,검거,2
중구,2022,강도,발생,5
중구,2022,강도,검거,4
중구,2022,강간·강제추행,발생,194
중구,2022,강간·강제추행,검거,123
중구,2022,절도,발생,1365
중구,2022,절도,검거,724
중구,2022,폭력,발생,1506
중구,2022,폭력,검거,1266
중구,2023,소계,발생,3348
